Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,Volatility,RSI,MACD,MACD_Signal,MACD_Hist,Volume_Trend
2024-06-26 00:00:00+05:30,358.3911514895266,359.1399837906162,352.60016341239475,355.6953430175781,27206818,0.0,0.0,355.6953430175781,355.6953430175781,0.15,0.0,0.0,0.0,0.0,1.0
2024-06-27 00:00:00+05:30,355.6953369857764,357.8419834518182,347.45818181347425,353.0494689941406,18689181,0.0,0.0,354.3724060058594,354.3724060058594,0.15,0.0,-0.21106687366454935,-0.04221337473290987,-0.16885349893163948,0.8144143893675786
2024-06-28 00:00:00+05:30,356.44417328122296,361.4363885932849,354.8466582873503,357.5923767089844,23411225,0.0,0.0,355.4457295735677,355.4457295735677,0.22732745990797318,63.19440316935148,-0.01163014075132196,-0.03609672793659229,0.024466587185270332,1.0133673078581247
2024-07-01 00:00:00+05:30,357.5923784075896,357.84198917437834,351.5018696039306,352.2507019042969,15688767,0.0,0.0,354.64697265625,354.64697265625,0.22844132938165457,36.254925741296354,-0.2813602615978539,-0.08514943466884461,-0.19621082692900926,0.7383297407521255
2024-07-02 00:00:00+05:30,352.6501086966063,354.8966056307635,349.455078646668,350.4535217285156,12146516,0.0,0.0,353.80828247070315,353.80828247070315,0.18711197246824227,31.707306681918396,-0.6328456949547103,-0.19468868672601777,-0.4381570082286925,0.6251905769736826
2024-07-03 00:00:00+05:30,352.450417229949,355.84511770415634,349.1555671605847,350.7530517578125,12102104,0.0,0.0,353.299077351888,353.299077351888,0.16525405391954012,33.10578068434606,-0.8771199700915417,-0.33117494339912257,-0.5459450266924192,0.6646792307219621
2024-07-04 00:00:00+05:30,351.451944839946,356.29439960575905,349.7545795092279,350.3037414550781,11944846,0.0,0.0,352.8711722237723,352.8711722237723,0.14813415601811203,32.119159718847314,-1.094349697324617,-0.48380989418422143,-0.6105398031403955,0.6899438620308366
2024-07-05 00:00:00+05:30,350.3037698565541,354.2476018434674,348.5564944209421,352.2008056640625,15513571,0.0,0.0,352.7873764038086,352.7873764038086,0.14338670577174875,39.70592729981919,-1.1007399490289913,-0.6071959051531755,-0.49354404387581585,0.9078699266266436
2024-07-08 00:00:00+05:30,352.450415724255,352.99954724344786,346.65945790887974,347.7577209472656,11525948,0.0,0.0,352.22852579752606,352.22852579752606,0.1470857209652257,31.46855139655156,-1.4476366199488666,-0.7752840481123138,-0.6723525718365528,0.699819527863432
2024-07-09 00:00:00+05:30,348.55646558396734,353.14930958589684,348.0073036390265,349.3052978515625,8908509,0.0,0.0,351.9362030029297,351.9362030029297,0.14285061006619196,36.086943230972196,-1.5794710493017874,-0.9361214483502085,-0.6433496009515789,0.5669244992689045
2024-07-10 00:00:00+05:30,349.85443129939074,350.3536528139361,343.56425240414416,347.40826416015625,11556794,0.0,0.0,351.5245721990412,351.5245721990412,0.13577795218953648,33.33333333185848,-1.816090785011852,-1.1121153156825372,-0.7039754693293148,0.7535805882308552
2024-07-11 00:00:00+05:30,348.9558417512049,350.80296746535987,346.459734156418,347.5080871582031,8045640,0.0,0.0,351.1898651123047,351.1898651123047,0.1294307614467508,33.59994326939763,-1.9728173383876424,-1.2842557202235583,-0.6885616181640841,0.5462697988449344
2024-07-12 00:00:00+05:30,353.9480675496367,355.8451032845217,349.45507374435215,349.8045349121094,16327807,0.0,0.0,351.0833012507512,351.0833012507512,0.1296926132250023,39.19415477648296,-1.8899341352976649,-1.4053914032383796,-0.4845427320592852,1.0994146737917243
2024-07-15 00:00:00+05:30,353.74835573547495,356.1446433997458,351.1524282159538,354.8466491699219,15488346,0.0,0.0,351.35211181640625,351.35211181640625,0.14212090533536786,48.68621703993646,-1.4012395010820455,-1.4045610228071128,0.003321521725067278,1.0397052549014252
2024-07-16 00:00:00+05:30,349.45506730976535,349.80452847108785,342.56581636252844,343.7140197753906,25005251,0.0,0.0,350.84290568033856,350.84290568033856,0.19163379620164775,36.20688201301515,-1.8904635484702226,-1.5017415279397348,-0.38872202053048777,1.6059112878034176
2024-07-18 00:00:00+05:30,345.06192769082287,345.611059185894,335.4768682191209,336.4753112792969,25188963,0.0,0.0,349.94493103027344,349.94493103027344,0.20015506333917554,32.74427045706567,-2.8296618297480336,-1.7673255883013947,-1.0623362414466389,1.5575766667944861
2024-07-19 00:00:00+05:30,336.5252297814592,341.4675352427352,331.5330143539338,338.22259521484375,15349322,0.0,0.0,349.2553818646599,349.2553818646599,0.19655529201838642,28.587207563624176,-3.3938696070616174,-2.0926343920534394,-1.301235215008178,0.9519841195832721
2024-07-22 00:00:00+05:30,338.22260243012823,342.46598563404865,333.7795184168206,340.419189453125,12279130,0.0,0.0,348.76448228624133,348.76448228624133,0.19388571361281856,35.943107464172854,-3.6220092699138036,-2.3985093676255125,-1.223499902288291,0.7717903275347209
2024-07-23 00:00:00+05:30,341.4675222888129,341.4675222888129,325.4924335267632,334.3785705566406,13863332,0.0,0.0,348.00732903731495,348.00732903731495,0.19663927350878366,32.65086590111268,-4.241347444575524,-2.767076983015515,-1.474270461560009,0.877303130770448
2024-07-24 00:00:00+05:30,334.7280255209734,338.4721868802684,334.07904364604155,334.17889404296875,8729363,0.0,0.0,347.31590728759767,347.31590728759767,0.19137793590615843,32.0734513767041,-4.694178073169496,-3.1524972010463115,-1.5416808721231847,0.5650595535801525
2024-07-25 00:00:00+05:30,332.48154094481754,333.1305228436399,327.48932561531575,328.6874694824219,12201643,0.0,0.0,346.4288388206845,346.4288388206845,0.1921500502806072,28.919213960013124,-5.433527355978526,-3.6087032320327546,-1.8248241239457719,0.7978081668340095
2024-07-26 00:00:00+05:30,329.33644369678194,336.1258441984604,329.03689250196277,331.38323974609375,9688122,0.0,0.0,345.7449479536577,345.7449479536577,0.19193041461441818,30.009553448691705,-5.735821874399505,-4.034126960506105,-1.7016949138933999,0.6441936536783017
2024-07-29 00:00:00+05:30,333.97920608828434,334.67812842358,328.9869907506418,329.6859130859375,12628377,0.0,0.0,345.0467290463655,345.0467290463655,0.19147304434344692,31.680151859896696,-6.042696095346855,-4.435840787474255,-1.6068553078725998,0.8455938466254761
2024-07-30 00:00:00+05:30,330.48464414984943,331.23347642511345,328.5876084798599,328.83721923828125,8705901,0.0,0.0,344.371332804362,344.371332804362,0.1824336837445164,28.95276266520375,-6.281964055784272,-4.805065441136259,-1.4768986146480128,0.5932547072240076
2024-07-31 00:00:00+05:30,328.83723863089796,330.7342744127619,326.9901128156363,327.9885559082031,12402209,0.0,0.0,343.7160217285156,343.7160217285156,0.17796875238127266,29.590760010752348,-6.4655350134461855,-5.137159355598245,-1.3283756578479409,0.8504037127937332
2024-08-01 00:00:00+05:30,328.48778368487814,332.38170572573136,327.73895135124997,328.1882629394531,13137038,0.0,0.0,343.1188002366286,343.1188002366286,0.17837710570179965,29.738272577661604,-6.519746057401278,-5.413676695958852,-1.106069361442426,0.9042403761223721
2024-08-02 00:00:00+05:30,325.4425446839853,327.7389516545438,324.04469995053336,325.7420654296875,7284359,0.0,0.0,342.47521746600114,342.47521746600114,0.17837086138362138,24.843425264229438,-6.683058260055077,-5.667553008778097,-1.0155052512769798,0.5108258322635552
2024-08-05 00:00:00+05:30,317.454989113829,321.6983721990143,314.50956984314513,316.5563659667969,16751766,0.0,0.0,341.54954419817244,341.54954419817244,0.19806973926717023,13.160453808397492,-7.4676115582046805,-6.027564718663415,-1.4400468395412656,1.167455155930079
2024-08-06 00:00:00+05:30,316.6562226773533,321.49867780034674,309.51736061524065,310.8652648925781,12640387,0.0,0.0,340.4914656014278,340.4914656014278,0.19954111757793436,14.699608818063638,-8.451180050616244,-6.5122877850539815,-1.938892265562263,0.8845590853732526
2024-08-07 00:00:00+05:30,315.9573221220504,336.6750158529116,312.81220207119344,329.2366027832031,20755735,0.0,0.0,340.116303507487,340.116303507487,0.29475182274095435,43.72294784603955,-7.659952569913173,-6.74182074202582,-0.9181318278873531,1.4308807720402126
2024-08-08 00:00:00+05:30,329.486216367202,330.2849586430966,323.4955578877983,325.8918151855469,9648681,0.0,0.0,339.65744904548893,339.65744904548893,0.29470825346081697,39.59561282932667,-7.219572755842989,-6.8373711447892545,-0.38220161105373496,0.67243387306082
