Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-26 00:00:00+05:30,3583.035591907639,3603.958722115837,3579.7736268740387,3593.61376953125,1639845,0.0,0.0
2024-06-27 00:00:00+05:30,3570.453701121453,3673.9045914436874,3558.4311210986525,3666.58837890625,4526556,0.0,0.0
2024-06-28 00:00:00+05:30,3651.3507071067693,3690.680642180252,3632.7575508940217,3638.62890625,2731571,0.0,0.0
2024-07-01 00:00:00+05:30,3619.8489271393464,3729.54409757546,3619.8489271393464,3707.642333984375,2658723,0.0,0.0
2024-07-02 00:00:00+05:30,3721.9953338274368,3749.7684536400434,3711.6967988787364,3744.176513671875,2307449,0.0,0.0
2024-07-03 00:00:00+05:30,3746.599693233403,3752.2849230860397,3686.0203449597284,3695.5732421875,1821198,0.0,0.0
2024-07-04 00:00:00+05:30,3727.820255141,3772.0897796971713,3711.2774328068517,3747.485107421875,2518001,0.0,0.0
2024-07-05 00:00:00+05:30,3737.2796479964227,3752.8904794437894,3716.775869378986,3738.957275390625,1668616,0.0,0.0
2024-07-08 00:00:00+05:30,3748.4634252798046,3757.084331964001,3707.5025141632937,3721.6220703125,1758882,0.0,0.0
2024-07-09 00:00:00+05:30,3713.979805824434,3734.4369389213416,3704.753196694115,3714.44580078125,1305801,0.0,0.0
2024-07-10 00:00:00+05:30,3712.7687221974984,3731.03581821931,3636.6251805066217,3643.288818359375,2669716,0.0,0.0
2024-07-11 00:00:00+05:30,3663.652449012925,3709.319956009016,3630.6600961977388,3656.848876953125,4872189,0.0,0.0
2024-07-12 00:00:00+05:30,3709.3201197843787,3914.31149788065,3701.2118524670477,3899.399658203125,13509164,0.0,0.0
2024-07-15 00:00:00+05:30,3947.6304141409055,3951.637789303582,3874.329033070802,3885.653076171875,4848030,0.0,0.0
2024-07-16 00:00:00+05:30,3888.2621642902236,3909.2783561355113,3863.005145027192,3894.273681640625,2029521,0.0,0.0
2024-07-18 00:00:00+05:30,3877.077981309866,4030.856314703166,3877.077981309866,4022.048828125,5613364,0.0,0.0
2024-07-19 00:00:00+05:30,4033.11900855646,4071.746392777355,4003.086029171015,4019.106689453125,3903354,10.0,0.0
2024-07-22 00:00:00+05:30,4016.8182908544136,4035.501383022473,3984.1694048386576,4005.0478515625,1896386,0.0,0.0
2024-07-23 00:00:00+05:30,4000.9840761992705,4074.502224282176,3985.383512221981,4019.06005859375,2365208,0.0,0.0
2024-07-24 00:00:00+05:30,4005.1879698555426,4053.390439914128,3987.0654612879484,4022.703369140625,1809793,0.0,0.0
2024-07-25 00:00:00+05:30,4012.1938064248666,4057.033224983282,3992.763574168281,4037.883056640625,2810342,0.0,0.0
2024-07-26 00:00:00+05:30,4063.5723344725097,4131.252014771132,4051.474850472995,4098.93017578125,3552210,0.0,0.0
2024-07-29 00:00:00+05:30,4124.292751189664,4139.239225486161,4083.1899468742968,4092.625,1746803,0.0,0.0
2024-07-30 00:00:00+05:30,4101.96659171143,4108.412167596899,4042.3672511181926,4077.912109375,1797906,0.0,0.0
2024-07-31 00:00:00+05:30,4063.5727565045063,4123.358654531239,4058.901983221168,4096.59521484375,2330091,0.0,0.0
2024-08-01 00:00:00+05:30,4109.71966219366,4128.309247535578,4077.6313604093743,4107.5712890625,2202244,0.0,0.0
2024-08-02 00:00:00+05:30,4077.5846664483884,4108.4117670194755,3988.839982986167,4001.030517578125,2811282,0.0,0.0
2024-08-05 00:00:00+05:30,3959.8811983653177,3959.8811983653177,3839.8423368437457,3881.458740234375,2787771,0.0,0.0
2024-08-06 00:00:00+05:30,3896.312359784595,3977.8638749268666,3886.8303255725164,3896.5458984375,2203067,0.0,0.0
2024-08-07 00:00:00+05:30,3949.605404089638,3965.439506030656,3905.046049978384,3923.86962890625,1237666,0.0,0.0
2024-08-08 00:00:00+05:30,3905.7004295419442,3953.342314714544,3886.083182706168,3897.806640625,2441283,0.0,0.0
2024-08-09 00:00:00+05:30,3939.329836106082,3973.56650999584,3928.6335837883744,3950.30615234375,1302536,0.0,0.0
2024-08-12 00:00:00+05:30,3951.47429076642,3959.8816828744334,3910.6985302685966,3919.385986328125,936912,0.0,0.0
2024-08-13 00:00:00+05:30,3935.593585790649,3955.210833666653,3907.5689459677865,3920.6005859375,1495593,0.0,0.0
2024-08-14 00:00:00+05:30,3931.8568963353414,4022.6569101782006,3912.379680783193,4012.427734375,3226545,0.0,0.0
2024-08-16 00:00:00+05:30,4063.5727056513274,4135.50261331458,4040.3123462174317,4125.2734375,3457058,0.0,0.0
2024-08-19 00:00:00+05:30,4129.896858035217,4198.323672070747,4101.265115128965,4194.353515625,2055210,0.0,0.0
2024-08-20 00:00:00+05:30,4208.366092318441,4264.415363248319,4203.69531974095,4225.4609375,2212298,0.0,0.0
2024-08-21 00:00:00+05:30,4220.510508211579,4259.745001647808,4196.736091046363,4251.8046875,1896990,0.0,0.0
2024-08-22 00:00:00+05:30,4259.744931072301,4260.63256038501,4201.080205263111,4205.56396484375,1829872,0.0,0.0
2024-08-23 00:00:00+05:30,4203.69572876681,4209.300656405166,4161.658771479141,4169.97265625,1809253,0.0,0.0
2024-08-26 00:00:00+05:30,4193.420300556836,4252.412076557385,4189.683681888486,4205.98486328125,1844164,0.0,0.0
2024-08-27 00:00:00+05:30,4208.365429580345,4213.0362014222765,4191.363637623689,4201.0322265625,930697,0.0,0.0
2024-08-28 00:00:00+05:30,4202.527534326139,4262.079883381608,4163.806648056847,4209.3466796875,1848058,0.0,0.0
2024-08-29 00:00:00+05:30,4166.329721782055,4256.008567811444,4166.329721782055,4214.71875,2133641,0.0,0.0
2024-08-30 00:00:00+05:30,4203.695443315948,4289.871199903925,4192.298575439788,4253.90625,3637222,0.0,0.0
2024-09-02 00:00:00+05:30,4274.691845760554,4285.901701999436,4214.905945819847,4223.35986328125,1216500,0.0,0.0
2024-09-03 00:00:00+05:30,4223.359782095085,4255.915163522401,4199.86588340543,4215.23291015625,1717263,0.0,0.0
2024-09-04 00:00:00+05:30,4182.163638580721,4191.551709902781,4144.563915753981,4184.31201171875,1265505,0.0,0.0
