Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-05-28 00:00:00-04:00,20.088409423828125,20.088409423828125,20.088409423828125,20.088409423828125,36,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,19.90084457397461,19.90084457397461,19.90084457397461,19.90084457397461,1,0.0,0.0,0.0
2024-05-30 00:00:00-04:00,20.0588436126709,20.0588436126709,20.0588436126709,20.0588436126709,76,0.0,0.0,0.0
2024-05-31 00:00:00-04:00,20.002169848445092,20.21350860595703,20.002169848445092,20.21350860595703,202,0.0,0.0,0.0
2024-06-03 00:00:00-04:00,20.305099487304688,20.305099487304688,20.305099487304688,20.305099487304688,12,0.0,0.0,0.0
2024-06-04 00:00:00-04:00,20.230266036927055,20.432043600749406,20.230266036927055,20.430288314819336,417,0.0,0.0,0.0
2024-06-05 00:00:00-04:00,20.467134339493537,20.53126335144043,20.467134339493537,20.53126335144043,477,0.0,0.0,0.0
2024-06-06 00:00:00-04:00,20.484943389892578,20.484943389892578,20.484943389892578,20.484943389892578,2,0.0,0.0,0.0
2024-06-07 00:00:00-04:00,20.350717544555664,20.350717544555664,20.350717544555664,20.350717544555664,3,0.0,0.0,0.0
2024-06-10 00:00:00-04:00,20.334575653076172,20.334575653076172,20.334575653076172,20.334575653076172,5,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,20.2593936920166,20.2593936920166,20.2593936920166,20.2593936920166,6,0.0,0.0,0.0
2024-06-12 00:00:00-04:00,20.341243743896484,20.341243743896484,20.341243743896484,20.341243743896484,12,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,20.201492309570312,20.201492309570312,20.201492309570312,20.201492309570312,10,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,19.99848747253418,19.99848747253418,19.99848747253418,19.99848747253418,2,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,20.185789108276367,20.185789108276367,20.185789108276367,20.185789108276367,17,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,20.202455520629883,20.202455520629883,20.202455520629883,20.202455520629883,3,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,20.187454223632812,20.187454223632812,20.187454223632812,20.187454223632812,5,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,20.235443115234375,20.235443115234375,20.235443115234375,20.235443115234375,20,0.0,0.0,0.0
2024-06-24 00:00:00-04:00,20.247285842895508,20.247285842895508,20.247285842895508,20.247285842895508,96,0.0,0.0,0.0
2024-06-25 00:00:00-04:00,20.229650497436523,20.229650497436523,20.229650497436523,20.229650497436523,1,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,20.12499193079018,20.19070053100586,20.12499193079018,20.19070053100586,121,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,20.16736602783203,20.16736602783203,20.16736602783203,20.16736602783203,1,0.0,0.0,0.0
